claim_id,adjudication_outcome,classification,published_status,audit_status,evidence_qualifications,evidence_tiers,source_independence,model_tiers,unresolved_replication_classes,claim_family,statement,model_domain,uncertainty_boundary,falsifier,adjudication,reviewer,last_verified_on,source_locations,evidence_artifacts
PD-CLAIM-012,supported,external_empirical_synthesis,supported_with_heterogeneity_qualification,provisional_original_source_matrix_incomplete,external_source_registered | independent_followup_open,external_empirical_human,multiple_independent_external_support,human_or_external_evidence,systematic_review_open,ch03_evidence,"Several sampled professional or highly skilled groups show higher segment-speed magnitudes or more repeatable timing than comparison groups, but gross proximal-to-distal order alone is not sufficient to identify skill or performance.","Heterogeneous observational comparisons of selected professional, elite, amateur, and recreational golfer samples with study-specific kinematic definitions.",Not a meta-analytic population effect; access to several full texts and a study-by-study bias matrix remain open.,"A preregistered common-pipeline synthesis shows no reliable magnitude or repeatability differences, or peak order alone predicts skill robustly after held-out validation.",The synthesis was narrowed from a categorical statement about skilled golfers to observations in sampled groups. Full original-source and risk-of-bias review remains required before a final synthesis status.,Codex technical audit,2026-08-12,docs/research/proximal_distal_energy_transfer/chapters/_ch03_evidence.qmd:59 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_evidence.qmd:126 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_evidence.qmd:96,https://www.researchgate.net/publication/252236426 | https://doi.org/10.1055/s-2008-1038732 | https://doi.org/10.1177/17479541261429479
PD-CLAIM-013,supported,external_empirical_model_derived_result,corrected_and_supported_with_timing_qualification,original_abstract_and_book_record_checked_full_reanalysis_open,abstract_or_record_only | external_source_registered | independent_followup_open | project_executable_or_data,external_empirical_human | project_executable_or_generated,single_independent_external_support,human_or_external_evidence,full_text_or_original_source_open | statistical_reanalysis_or_replication_open,ch03_evidence,"In Anderson, Wright, and Stefanyshyn's 45-male-scratch-golfer analysis, peak total kinetic-energy magnitudes increased from hips to club, while hips, torso, and arms peaked at approximately the same normalized time and only the club peaked significantly later.","Driver swings from 45 male scratch golfers represented by a four-linked-group kinematic model with translational, remote rotational, and local rotational kinetic energy.","Group-aggregated male scratch-golfer result; segment kinetic-energy peaks do not identify intersegment power flow, and full independent reconstruction from raw trajectories is unavailable.","The original tables or a faithful reconstruction do not show the stated magnitude and timing patterns, or individual-level data show the group statement is an averaging artifact.",The prior paper wording incorrectly treated this study as evidence of proximal-to-distal kinetic-energy timing. The original abstract supports only distal amplification of peak magnitude and explicitly reports nonsequential timing.,Codex technical audit,2026-08-12,docs/research/proximal_distal_energy_transfer/chapters/_ch03_evidence.qmd:42 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_evidence.qmd:139,https://doi.org/10.1007/978-0-387-46050-5_30 | https://www.researchgate.net/publication/226339824_Segmental_Sequencing_of_Kinetic_Energy_in_the_Golf_Swing | docs/research/proximal_distal_energy_transfer/data/claim_numeric_reported_values.json
PD-CLAIM-014,supported,external_single_subject_model_result,corrected_and_supported_with_single_subject_qualification,original_full_text_checked_independent_reimplementation_open,external_source_registered | independent_followup_open | original_full_text_checked | project_executable_or_data,external_empirical_human | project_executable_or_generated,single_independent_external_support,human_or_external_evidence,independent_reimplementation_open,ch03_evidence,"Kenny and colleagues' subject-specific driver and 7-iron simulations used one elite male golfer and produced peak kinetic-energy timing in the order arms, hips, torso, club, despite proximal-to-distal increases in peak magnitude.","One 25-year-old elite male golfer (+1 handicap), representative driver and 7-iron trials, and a subject-specific 19-segment, 42-DOF, 111-muscle computer model driven through inverse and forward dynamics.","Single-subject, representative-trial, model-dependent result; no population inference, direct intersegment energy-flow measurement, or independent implementation.","The original tables do not yield arms-hips-torso-club peak timing, or a faithful reimplementation under the declared model produces a materially different order.",The full article directly contradicts a simple proximal-to-distal peak-timing account while supporting proximal-to-distal peak-magnitude amplification in this one model.,Codex technical audit,2026-08-12,docs/research/proximal_distal_energy_transfer/chapters/_ch03_evidence.qmd:42 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_evidence.qmd:139,https://doi.org/10.1007/s12283-008-0005-0 | https://people.stfx.ca/smackenz/Courses/DirectedStudy/Articles/Kenny%202008%20Segmental%20sequencing%20of%20kinetic%20energy%20in%20a%20computer-simulated.pdf | docs/research/proximal_distal_energy_transfer/data/claim_numeric_reported_values.json
PD-CLAIM-015,supported,external_empirical_association,supported_with_sample_and_association_qualification,original_abstract_checked,abstract_or_record_only | external_source_registered | project_executable_or_data,external_empirical_human | project_executable_or_generated,single_independent_external_support,human_or_external_evidence,none_declared,ch03_evidence,Myers and colleagues found moderate associations (reported r at least 0.50) between selected torso-pelvis variables and ball velocity in 100 recreational golfers.,Cross-sectional biomechanical driver analysis of 100 recreational golfers using their own drivers and launch-monitor ball velocity.,"Selected correlations and group contrasts; no causal intervention, out-of-sample prediction, or universal X-factor prescription.",A faithful source check fails to reproduce the reported associations or a preregistered representative replication finds no material association.,The source supports moderate sample-specific associations. The paper now avoids converting those associations into a causal or universal performance rule.,Codex technical audit,2026-08-12,docs/research/proximal_distal_energy_transfer/chapters/_ch03_evidence.qmd:79,https://pubmed.ncbi.nlm.nih.gov/17852693/ | https://doi.org/10.1080/02640410701373543 | docs/research/proximal_distal_energy_transfer/data/claim_numeric_reported_values.json
PD-CLAIM-016,supported,external_cross_sectional_regression_result,supported_with_in_sample_qualification,original_full_text_checked_external_validation_open,external_source_registered | independent_followup_open | original_full_text_checked | project_executable_or_data,external_empirical_human | project_executable_or_generated,single_independent_external_support,finite_ground_or_base | human_or_external_evidence,external_validation_open,ch03_evidence,"Chu, Sell, and Lephart's four event-specific stepwise regression models in 308 golfers accounted for 43.7% to 73.5% of in-sample ball-velocity variance.",Stepwise linear regressions of kinematic and ground-reaction variables at four swing events in a heterogeneous sample of 308 golfers.,"In-sample explained variance after stepwise selection; participant-level held-out accuracy, shrinkage, causal effects, and population transport are unreported.",The original regression tables do not report the stated range or participant-level external validation shows materially weaker prediction.,"The numerical range is supported, but it is now identified as in-sample variance rather than validated predictive performance or causal explanation.",Codex technical audit,2026-08-12,docs/research/proximal_distal_energy_transfer/chapters/_ch03_evidence.qmd:79,https://doi.org/10.1080/02640414.2010.507249 | https://people.stfx.ca/smackenz/courses/hk396/handouts/Chu%202010%20The%20relationship%20between%20biomechanical%20variables%20and%20driving%20performance.pdf | docs/research/proximal_distal_energy_transfer/data/claim_numeric_reported_values.json
PD-CLAIM-017,supported,external_small_sample_regression_result,supported_with_sample_and_in_sample_qualification,publisher_abstract_checked_full_statistical_replication_open,abstract_or_record_only | external_source_registered | independent_followup_open | project_executable_or_data,external_empirical_human | project_executable_or_generated,single_independent_external_support,human_or_external_evidence,statistical_reanalysis_or_replication_open,ch03_evidence,Joyce and colleagues' regressions in 15 low-handicap male golfers associated trunk variables with clubhead speed and explained 33.7% to 66.7% of variance across driver and five-iron models.,Cross-sectional motion-capture and launch-monitor study of 15 low-handicap male golfers using driver and five-iron.,"Small male low-handicap sample, multiple regressions, no held-out validation, and no causal intervention.",The original source values differ or a preregistered replication does not reproduce the associations under matched definitions.,"The source supports sample-specific regression associations, not a general causal rule for torso-pelvis strategy.",Codex technical audit,2026-08-12,docs/research/proximal_distal_energy_transfer/chapters/_ch03_evidence.qmd:79,https://doi.org/10.1080/14763141.2012.728244 | https://www.tandfonline.com/doi/abs/10.1080/14763141.2012.728244 | docs/research/proximal_distal_energy_transfer/data/claim_numeric_reported_values.json
PD-CLAIM-018,supported,external_method_comparison_and_null_association,supported,publisher_abstract_checked,abstract_or_record_only | external_source_registered | project_executable_or_data,external_methods_or_measurement | project_executable_or_generated,single_independent_external_support,human_or_external_evidence,none_declared,ch03_evidence,Kwon and colleagues found that three valid X-factor computation methods produced significantly different values and that the resulting X-factor parameters were not directly associated with maximum clubhead velocity in 18 skilled male golfers.,"Five driver trials from each of 18 skilled male golfers, optical motion capture at 250 Hz, two plane-based and one Cardan-rotation X-factor method.","Small skilled-male sample and selected definitions; a null direct correlation does not exclude nonlinear, conditional, or within-player effects.","The publisher record or original tables do not show method differences and null direct associations, or a matched preregistered replication consistently contradicts them.",This study directly limits use of X-factor as a definition-invariant performance metric. The missing DOI was restored in the bibliography.,Codex technical audit,2026-08-12,docs/research/proximal_distal_energy_transfer/chapters/_ch03_evidence.qmd:79,https://doi.org/10.1080/14763141.2013.771896 | https://www.tandfonline.com/doi/abs/10.1080/14763141.2013.771896 | docs/research/proximal_distal_energy_transfer/data/claim_numeric_reported_values.json
PD-CLAIM-019,supported,external_within_player_null_comparison,supported_with_measurement_limitation,original_article_and_publisher_record_checked,external_source_registered | project_executable_or_data,external_empirical_human | project_executable_or_generated,single_independent_external_support,human_or_external_evidence,none_declared,ch03_evidence,Neal and colleagues found no significant difference in contiguous-segment peak-speed lags between player-rated well-timed and mistimed shots from 25 highly skilled amateur golfers.,"Approximately 20 driver shots per player from 25 highly skilled amateurs, five-segment three-dimensional kinematics, player-rated timing, shot distance, and lateral error.",The study did not measure pre-impact clubhead state or impact location; a null result for peak-speed lags does not establish what subjective timing represents.,The original analysis reports a significant well-timed versus mistimed peak-lag difference or a matched replication consistently identifies such a difference.,The result limits the tested five-segment peak-lag measure; the paper no longer infers that subjective timing necessarily resides in an unmeasured mechanism.,Codex technical audit,2026-08-12,docs/research/proximal_distal_energy_transfer/chapters/_ch03_evidence.qmd:106,https://doi.org/10.1260/174795407789705497 | https://journals.sagepub.com/doi/10.1260/174795407789705497 | https://people.stfx.ca/smackenz/Courses/DirectedStudy/Articles/Neal%202007%20Body%20Segment%20Sequencing%20and%20Timing%20in%20Golf.pdf | docs/research/proximal_distal_energy_transfer/data/claim_numeric_reported_values.json
PD-CLAIM-020,supported,external_within_data_method_sensitivity,supported,original_article_metadata_and_method_result_checked,external_source_registered | project_executable_or_data,external_methods_or_measurement | project_executable_or_generated,single_independent_external_support,human_or_external_evidence,none_declared,ch03_evidence,Marsan and colleagues applied seven angular-velocity component methods to driver swings from 13 golfers and obtained nearly as many kinematic-sequence classifications as methods for each golfer.,Driver swings from 13 golfers reprocessed using seven angular-velocity component definitions.,"One sample and a finite method set; does not quantify all preprocessing, filtering, coordinate, or population sources of variability.",The original method-by-golfer results do not show the stated classification sensitivity or a faithful reanalysis yields method-invariant order.,The study supports explicit method dependence. Cross-study peak-order comparisons are therefore conditional on matched computational definitions.,Codex technical audit,2026-08-12,docs/research/proximal_distal_energy_transfer/chapters/_ch03_evidence.qmd:118,https://pubmed.ncbi.nlm.nih.gov/31741482/ | docs/research/proximal_distal_energy_transfer/data/claim_numeric_reported_values.json
PD-CLAIM-021,supported,evidence_boundary_and_untested_causal_hypothesis,causal_claim_withheld,supported_as_nonidentifiability_and_evidence_scope_boundary,hypothesis_or_prospective_protocol,project_derivation_or_document,project_only,declared_model_tier_unclassified,none_declared,ch03_evidence,The cited observational and model studies do not establish a dominant causal human energy-transfer pathway or show that early distal transfer causes amateur casting.,"Current external observational studies, inverse-dynamics partitions, and repository reduced-model experiments considered together.",Absence of causal identification is not evidence that the proposed delayed-handoff mechanism is false; the mechanism remains testable and model-conditional.,"A preregistered intervention with complete club, hand-wrench, body, and impact measurements isolates early distal transfer as the dominant pathway and establishes its causal role in casting.",The former synthesis overreached from model feasibility and heterogeneous associations. The revised text preserves the hypothesis while withholding dominant-pathway and casting-causation claims.,Codex technical audit,2026-08-12,docs/research/proximal_distal_energy_transfer/chapters/_ch03_evidence.qmd:139,docs/research/proximal_distal_energy_transfer/chapters/_ch02_mechanics.qmd | docs/research/proximal_distal_energy_transfer/chapters/_ch03_evidence.qmd | docs/research/proximal_distal_energy_transfer/EXPERIMENTAL_FALSIFICATION_PROTOCOL.md
PD-CLAIM-022,supported,external_computational_model_result,supported_with_model_and_estimand_qualification,publisher_abstract_checked_full_reimplementation_open,abstract_or_record_only | external_source_registered | independent_followup_open,external_modeling_or_simulation,single_independent_external_support,cross_tier_synthesis | human_or_external_evidence | planar_reduced,independent_reimplementation_open,ch02_mechanics,Pickering and Vickers' driven fixed-hub double-pendulum sweep found higher impact clubhead velocity with later release and minimum golfer-supplied energy for natural release.,"Driven planar fixed-hub double pendulum evaluated over a range of release angles, with release defined as the wrist joint becoming free and ball contact evaluated at a declared downswing location.","The publisher abstract does not expose the full parameter grid or numerical sensitivity; no human intervention, moving hub, flexible shaft, bilateral hand model, or population inference is established.",A faithful reimplementation of the published equations and parameters fails to reproduce the reported monotonic delayed-release result or natural-release energy minimum.,The primary publisher abstract supports both findings within the declared model. The manuscript now rejects the former universal 'strictly inferior' extrapolation.,Codex technical audit,2026-08-13,docs/research/proximal_distal_energy_transfer/chapters/_ch02_mechanics.qmd:151 | docs/research/proximal_distal_energy_transfer/chapters/_ch02_mechanics.qmd:203 | docs/research/proximal_distal_energy_transfer/chapters/_ch02_mechanics.qmd:274 | docs/research/proximal_distal_energy_transfer/chapters/_ch04_counterfactuals.qmd:22 | docs/research/proximal_distal_energy_transfer/chapters/_ch01_introduction.qmd:41,https://doi.org/10.1046/j.1460-2687.1999.00028.x | https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1460-2687.1999.00028.x
PD-CLAIM-023,supported,external_actuator_bounded_simulation_result,corrected_and_supported_with_model_qualification,primary_publisher_record_checked_independent_reimplementation_open,external_source_registered | independent_followup_open | project_executable_or_data,external_modeling_or_simulation | project_executable_or_generated,single_independent_external_support,human_or_external_evidence | planar_reduced,independent_reimplementation_open,ch02_mechanics,"Sprigings and Neal's three-segment simulation reported an approximately 9 percent clubhead-speed gain when an active wrist-torque generator was enabled late rather than disabled, with optimum activation near 30 degrees below horizontal and strong dependence on torque-profile shape.","Planar three-segment torso-left-arm-club simulation with activation and force-velocity-constrained torque generators, comparing wrist generator enabled and disabled conditions under the authors' optimization and impact constraints.","The contrast is not a forced-release-delay effect, human treatment effect, or reusable timing prescription; the source explicitly states timing sensitivity to torque-profile shape.",The original simulations or a faithful reimplementation do not yield the reported enabled-versus-disabled contrast and activation region.,The manuscript's former approximately 4 percent value was incorrect. The primary publisher record reports approximately 9 percent and explicitly conditions optimum timing on the torque profile.,Codex technical audit,2026-08-12,docs/research/proximal_distal_energy_transfer/chapters/_ch02_mechanics.qmd:161 | docs/research/proximal_distal_energy_transfer/chapters/_ch02_mechanics.qmd:203 | docs/research/proximal_distal_energy_transfer/chapters/_ch02_mechanics.qmd:274 | docs/research/proximal_distal_energy_transfer/chapters/_ch04_counterfactuals.qmd:22,https://doi.org/10.1123/jab.16.4.356 | https://journals.humankinetics.com/view/journals/jab/16/4/article-p356.xml | docs/research/proximal_distal_energy_transfer/data/claim_numeric_reported_values.json
